patient_id,slice_index,target_nonzero_fraction,is_nonblank,before_psnr,before_ssim,after_psnr,after_ssim
BraTS-GLI-00692-001,0,0.0,False,100.0,1.0,81.8741520641362,0.0
BraTS-GLI-00692-001,1,0.0,False,100.0,1.0,81.8741520641362,0.0
BraTS-GLI-00692-001,2,0.0,False,100.0,1.0,81.8741520641362,0.0
BraTS-GLI-00692-001,3,0.0,False,100.0,1.0,81.8741520641362,0.0
BraTS-GLI-00692-001,4,0.0,False,100.0,1.0,81.8741520641362,0.0
BraTS-GLI-00692-001,5,0.0,False,100.0,1.0,79.76471445506402,0.0
BraTS-GLI-00692-001,6,0.0006423611111111111,False,47.408506193102575,0.9813984090424092,60.91731752445236,0.9994650636518991
BraTS-GLI-00692-001,7,0.0011805555555555556,True,43.828921343069815,0.9718096735954924,51.386745478135296,0.9993029763651726
BraTS-GLI-00692-001,8,0.001979166666666667,True,43.27098992644097,0.9619971510481158,55.60621573605063,0.9996551462756037
BraTS-GLI-00692-001,9,0.006284722222222222,True,39.80522060066464,0.9191740708430506,53.03702409043965,0.9993525656571942
BraTS-GLI-00692-001,10,0.010434027777777778,True,39.34056660833882,0.8974018911863737,51.53086773352756,0.9990456241577378
BraTS-GLI-00692-001,11,0.013090277777777777,True,39.159311335002506,0.8893143338344085,55.15617726891457,0.9995383976109147
BraTS-GLI-00692-001,12,0.01390625,True,39.04270357035935,0.8886037387877194,54.29274753357019,0.9992685380933126
BraTS-GLI-00692-001,13,0.015034722222222222,True,37.94117612727638,0.8723989219738262,54.349497261779625,0.9992951392252247
BraTS-GLI-00692-001,14,0.019131944444444444,True,36.41495329732247,0.8524162525190726,50.33388901326198,0.998956159175213
BraTS-GLI-00692-001,15,0.021666666666666667,True,35.947622950997534,0.8522016822265684,49.10955191392324,0.9980923762171209
BraTS-GLI-00692-001,16,0.02625,True,34.73206518588651,0.8324654776095082,48.374316130995744,0.9975963754934428
BraTS-GLI-00692-001,17,0.03076388888888889,True,34.1337363190685,0.8330890944060756,45.99285952871847,0.9964672758248945
BraTS-GLI-00692-001,18,0.03522569444444444,True,34.16611914413861,0.8116542299926992,46.85375658280812,0.9959908098720444
BraTS-GLI-00692-001,19,0.04276041666666667,True,33.82952199184017,0.8124343635507677,46.605662195911385,0.9969860723714186
BraTS-GLI-00692-001,20,0.04807291666666667,True,33.0414578759261,0.7862638260758174,46.1480480435072,0.9971000647697693
BraTS-GLI-00692-001,21,0.053697916666666665,True,32.53855944451737,0.7674755711808375,44.14160192290851,0.9958096973467921
BraTS-GLI-00692-001,22,0.056128472222222225,True,31.854686144889108,0.7656806026633084,44.67327704691198,0.9947031806160843
BraTS-GLI-00692-001,23,0.0584375,True,31.52659584522267,0.7577889787404761,44.16513384401368,0.992996613847538
BraTS-GLI-00692-001,24,0.06197916666666667,True,31.070618190490485,0.7544745897217798,43.79832990647084,0.9948141655303465
BraTS-GLI-00692-001,25,0.06508680555555556,True,30.508789688477002,0.7531619075772139,42.842566087045284,0.9931867340436349
BraTS-GLI-00692-001,26,0.06977430555555555,True,30.379661981102895,0.7336266611229638,42.672878521150956,0.9939323690568799
BraTS-GLI-00692-001,27,0.07295138888888889,True,29.699195196736135,0.7270081676777775,42.62413190725879,0.9946466318365472
BraTS-GLI-00692-001,28,0.07692708333333333,True,29.122499650188157,0.7075409307222046,42.522450559726074,0.9927558149454332
BraTS-GLI-00692-001,29,0.08279513888888888,True,29.638732862441756,0.7349177687485509,40.70696591365619,0.9926881223859314
BraTS-GLI-00692-001,30,0.08932291666666667,True,28.97368201254586,0.731399908879497,39.64613084687704,0.9903746661755624
BraTS-GLI-00692-001,31,0.09769097222222223,True,28.18316161239807,0.7169398826120259,39.30073864070253,0.9867155807925799
BraTS-GLI-00692-001,32,0.10652777777777778,True,27.772204829412846,0.7122982287524318,37.73832715395299,0.9853364379575931
BraTS-GLI-00692-001,33,0.11118055555555556,True,28.36741077699375,0.7164984785001215,38.78887995861281,0.9878726828325205
BraTS-GLI-00692-001,34,0.12192708333333334,True,27.84430966284983,0.6959580586319097,38.00312813945872,0.9871503211371723
BraTS-GLI-00692-001,35,0.13359375,True,27.904085899856405,0.6990253541524668,37.532961996810094,0.9847317449602923
BraTS-GLI-00692-001,36,0.1539236111111111,True,27.46238888290251,0.68428865603737,37.06873011505733,0.9829137823983605
BraTS-GLI-00692-001,37,0.17152777777777778,True,27.71413674888433,0.6851263940353922,37.37404213916039,0.9797055812672175
BraTS-GLI-00692-001,38,0.18703125,True,27.991168269692487,0.6797035159436343,36.91420402096139,0.9798084286240423
BraTS-GLI-00692-001,39,0.1961284722222222,True,28.189024233648205,0.6828519972625877,36.915189090938625,0.979031413981883
BraTS-GLI-00692-001,40,0.20171875,True,28.422918457769764,0.6818808838339526,37.559997841464345,0.9800495175012444
BraTS-GLI-00692-001,41,0.20824652777777777,True,28.96032219854054,0.6988356719125689,37.77805385631176,0.9813462259784418
BraTS-GLI-00692-001,42,0.21302083333333333,True,28.701274602056532,0.693274586006394,36.71456754766779,0.9780741814243361
BraTS-GLI-00692-001,43,0.2203125,True,28.47772709708904,0.6867656088985047,36.70965378604185,0.9757282863422032
BraTS-GLI-00692-001,44,0.22552083333333334,True,28.4068166978578,0.689118089496886,36.68242374809891,0.9767139507006546
BraTS-GLI-00692-001,45,0.23246527777777778,True,28.065599436733528,0.6881122948633164,36.40519983441636,0.9753653216399557
BraTS-GLI-00692-001,46,0.24630208333333334,True,27.781372368595765,0.694560473282354,36.2167759400919,0.9752592341451193
BraTS-GLI-00692-001,47,0.2548611111111111,True,27.554626823623906,0.7006541774690304,36.09474975517172,0.9771655513547468
BraTS-GLI-00692-001,48,0.2635590277777778,True,27.107430081117183,0.6909247968571482,35.93620562320548,0.9764079929401775
BraTS-GLI-00692-001,49,0.2689236111111111,True,26.798613930964493,0.6822024273622661,35.2552702677453,0.972659349133088
BraTS-GLI-00692-001,50,0.27411458333333333,True,26.578109368219266,0.6806235984801553,34.8262735450931,0.9735047522070908
BraTS-GLI-00692-001,51,0.2803819444444444,True,26.68615605290594,0.6820985468903122,34.946944197132254,0.9729737183694834
BraTS-GLI-00692-001,52,0.2856076388888889,True,26.71762781136051,0.6887386685238445,34.6709560804236,0.9749132442001064
BraTS-GLI-00692-001,53,0.2925520833333333,True,26.815164466922297,0.6890406090322475,34.495942387078536,0.9759889116714988
BraTS-GLI-00692-001,54,0.29789930555555555,True,26.47374256677423,0.6811007083674633,34.76032931167087,0.9754745124533976
BraTS-GLI-00692-001,55,0.30203125,True,26.1673353889434,0.6769454439133324,34.27990073708709,0.9703882400631422
BraTS-GLI-00692-001,56,0.3070486111111111,True,26.11014699216039,0.6789779350327723,34.05962596899995,0.9678658238892485
BraTS-GLI-00692-001,57,0.31258680555555557,True,26.469637193536,0.6957289906632527,34.49365674854731,0.9698799476000275
BraTS-GLI-00692-001,58,0.31883680555555555,True,26.158175166547167,0.6903643092726304,34.72981937118946,0.9691031583539874
