epoch,train_loss,val_loss,monitor_loss,lr,seconds
1,0.00028608103089616316,0.00024018081237907405,0.00024018081237907405,0.0001,2040.037436246872
2,0.00022713659435553177,0.00023490021607529656,0.00023490021607529656,0.0001,1986.5487685203552
3,0.00021146716511108457,0.00020839523822840507,0.00020839523822840507,0.0001,2011.1237709522247
4,0.0002027649503613846,0.00020112928270430642,0.00020112928270430642,0.0001,1953.4679884910583
5,0.00019688990168690467,0.00019809172167628192,0.00019809172167628192,0.0001,1927.0861239433289
6,0.00019238019147098636,0.0001940576329913107,0.0001940576329913107,0.0001,1923.3643958568573
7,0.00018883002207200272,0.0001928809248889779,0.0001928809248889779,0.0001,1930.402218580246
8,0.00018586690600174563,0.00019060110567567517,0.00019060110567567517,0.0001,1925.9203915596008
9,0.00018339901784188454,0.00018841020481855523,0.00018841020481855523,0.0001,1933.5076446533203
10,0.00018111660468682017,0.00018501210678480672,0.00018501210678480672,0.0001,1927.6424798965454
11,0.00017905055243078622,0.00018521017200628915,0.00018521017200628915,0.0001,1929.0908606052399
12,0.0001772049797430637,0.00018200622645950614,0.00018200622645950614,0.0001,1930.2452573776245
13,0.00017537006328121197,0.00018027526375241477,0.00018027526375241477,0.0001,1928.3154368400574
14,0.0001737880323266704,0.00018004134688470903,0.00018004134688470903,0.0001,1930.8158721923828
15,0.00017221242395711723,0.00017774067347418678,0.00017774067347418678,0.0001,1929.715005159378
16,0.0001708171314219463,0.0001762023130607399,0.0001762023130607399,0.0001,1945.7634122371674
17,0.0001696969525507768,0.00017483024632627186,0.00017483024632627186,0.0001,1933.7216863632202
18,0.0001683841397093555,0.00017384407352714388,0.00017384407352714388,0.0001,1927.4819493293762
19,0.0001673392362972879,0.00017388943907822984,0.00017388943907822984,0.0001,1930.069200515747
20,0.00016642833383951749,0.000172762760478378,0.000172762760478378,0.0001,1931.6577785015106
21,0.00016550904282173554,0.00017212909200941363,0.00017212909200941363,0.0001,1918.0657408237457
22,0.00016471992668672293,0.0001699644681433329,0.0001699644681433329,0.0001,1921.2613744735718
23,0.00016393045610272204,0.0001698766103143929,0.0001698766103143929,0.0001,1926.7611482143402
24,0.0001632785648413498,0.00017135045706480621,0.00017135045706480621,0.0001,1974.6012670993805
25,0.00016263061132530798,0.0001684334945755443,0.0001684334945755443,0.0001,2027.3498311042786
26,0.00016200182934194828,0.00016820555726535405,0.00016820555726535405,0.0001,1963.054924249649
27,0.00016139269028602008,0.00016886702265303178,0.00016886702265303178,0.0001,1984.42489528656
28,0.00016081356493244226,0.0001666254048616946,0.0001666254048616946,0.0001,1943.124760389328
29,0.00016033394813271448,0.00016645958814084016,0.00016645958814084016,0.0001,1944.9949638843536
30,0.0001598456425168069,0.00016564987988191695,0.00016564987988191695,0.0001,1965.2983703613281
