patient_id,slice_index,target_nonzero_fraction,is_nonblank,before_psnr,before_ssim,after_psnr,after_ssim,psnr_gain,ssim_gain
BraTS-GLI-00421-000,1,0.0016666666666666,True,38.766853988760246,0.9513844776150346,56.02316864674019,0.9994472243820866,17.256314657979942,0.04806274676705191
BraTS-GLI-00025-000,143,0.0013888888888888,True,39.29954841889564,0.9464707862103052,55.971818738050594,0.9993278872728156,16.672270319154954,0.0528571010625104
BraTS-GLI-00383-000,1,0.00265625,True,34.558487259066744,0.9396423612761208,51.055870359131184,0.9996458106812433,16.49738310006444,0.06000344940512248
BraTS-GLI-00453-000,4,0.0034375,True,38.15510056099961,0.9196476134392012,54.44386041880773,0.9995596391013544,16.288759857808124,0.07991202566215316
BraTS-GLI-00088-001,17,0.0213194444444444,True,31.50002921131998,0.7868241313852977,47.50236677989419,0.9990665756802238,16.00233756857421,0.2122424442949261
BraTS-GLI-00714-001,4,0.0031597222222222,True,36.46984180451761,0.933176321876022,52.30483358672284,0.9997165365767398,15.834991782205236,0.0665402147007178
BraTS-GLI-00571-000,42,0.0026388888888888,True,38.50941539657963,0.9481711015968964,54.2684305116311,0.999817028103957,15.759015115051476,0.05164592650706057
BraTS-GLI-00088-001,10,0.0026736111111111,True,37.124347992305374,0.94092291684807,52.79356166897366,0.9997123033221952,15.669213676668285,0.05878938647412524
BraTS-GLI-00274-000,9,0.00671875,True,33.54694138928618,0.8676250175482081,49.17412223042192,0.9985173274406088,15.62718084113574,0.13089230989240075
BraTS-GLI-00296-000,2,0.0020833333333333,True,37.9758116364694,0.9447416330617364,53.5754962623832,0.9996990390212832,15.599684625913795,0.05495740595954679
