patient_id,slice_index,target_nonzero_fraction,is_nonblank,before_psnr,before_ssim,after_psnr,after_ssim,psnr_gain,ssim_gain
BraTS-GLI-00274-000,5,0.0020833333333333,True,34.558097075343696,0.9309720912073314,53.43921852925449,0.9993751198782688,18.881121453910794,0.0684030286709374
BraTS-GLI-00421-000,1,0.0016666666666666,True,38.766853988760246,0.9513844776150346,56.96893874637632,0.999369261945406,18.20208475761607,0.047984784330371344
BraTS-GLI-00274-000,8,0.0040277777777777,True,34.12407030500468,0.89743505906177,51.71838086252828,0.9993027965203816,17.5943105575236,0.10186773745861155
BraTS-GLI-00383-000,5,0.0051215277777777,True,33.11245138411616,0.8860782367144878,50.46168810632164,0.9980231341595316,17.349236722205475,0.11194489744504377
BraTS-GLI-00383-000,2,0.0030381944444444,True,33.565756714315306,0.9281117163922268,50.81755715067143,0.9993017084014296,17.251800436356127,0.07118999200920284
BraTS-GLI-00274-000,7,0.0030208333333333,True,34.5048732434771,0.92158644645183,51.59511623784614,0.9981920285457516,17.090242994369042,0.07660558209392165
BraTS-GLI-00453-000,4,0.0034375,True,38.15510056099961,0.9196476134392012,54.85191862346078,0.9997096127476736,16.696818062461176,0.08006199930847235
BraTS-GLI-00477-000,3,0.0029861111111111,True,34.56829078027337,0.9260496843052496,50.88291187332317,0.9992258740778568,16.314621093049794,0.0731761897726072
BraTS-GLI-00121-000,134,0.0022569444444444,True,34.836530825661086,0.9149858437295266,51.02566130225527,0.9986807901391294,16.189130476594187,0.08369494640960273
BraTS-GLI-00383-000,4,0.0032638888888888,True,33.9150575970728,0.9311424347990538,50.10261681078116,0.9994355072906536,16.187559213708354,0.06829307249159977
