patient_id,slice_index,target_nonzero_fraction,is_nonblank,before_psnr,before_ssim,after_psnr,after_ssim,psnr_gain,ssim_gain
BraTS-GLI-00578-000,58,0.1806076388888889,True,33.80183215765279,0.7761720043263385,20.705452717831623,0.9308312361907146,-13.096379439821167,0.15465923186437613
BraTS-GLI-00578-000,47,0.0935763888888888,True,35.82179765257552,0.8114730737022086,21.761084608452904,0.9433164473189524,-14.060713044122615,0.1318433736167438
BraTS-GLI-00578-000,46,0.0866145833333333,True,36.401233485480994,0.8409268451606349,21.899853536067063,0.9453455966814512,-14.50137994941393,0.10441875152081637
BraTS-GLI-00578-000,57,0.1673611111111111,True,33.766212948273854,0.789424223584834,21.97199241505882,0.9408578870917214,-11.794220533215032,0.15143366350688736
BraTS-GLI-00578-000,45,0.0807638888888888,True,37.17786640163046,0.8399947028414184,22.414779040868066,0.9492296059943496,-14.763087360762395,0.10923490315293116
BraTS-GLI-00578-000,42,0.0671875,True,38.44658446050087,0.8513469573369757,22.510520913832263,0.9519531400955218,-15.93606354666861,0.10060618275854605
BraTS-GLI-00578-000,44,0.0759548611111111,True,37.32132041395837,0.838407555511188,22.554901042580116,0.9507702243306104,-14.766419371378252,0.11236266881942247
BraTS-GLI-00578-000,43,0.0716493055555555,True,37.81898738130164,0.8450901847827343,22.594114059592144,0.9513547341298808,-15.224873321709495,0.10626454934714646
BraTS-GLI-00578-000,41,0.0636111111111111,True,38.89683441111216,0.8632187195848271,22.68481315989032,0.9538681819410152,-16.212021251221838,0.09064946235618809
BraTS-GLI-00578-000,48,0.1000694444444444,True,35.512792637812694,0.8099047003200247,22.790596000874523,0.9487366755078996,-12.722196636938172,0.13883197518787493
