model,n_nonzero_slices,psnr_mean,psnr_median,psnr_variance,ssim_mean,ssim_median,ssim_variance,mae_mean,mae_median,mae_variance,rmse_mean,rmse_median,rmse_variance
Input / before recon,17340,28.543762486646308,27.757169063545437,11.216039299059856,0.7210227866827482,0.7053576303359622,0.004216752164858699,0.018371347389523146,0.019314898177981377,4.775180607121725e-05,0.03967966401904274,0.04093940742313862,0.0001352168629610488
2D U-Net,17340,36.36483366482122,34.979487000000006,21.037034197214776,0.973195589042676,0.9713845000000001,0.00024556509926052585,0.00552925339832921,0.00596108753234148,8.443411898261276e-06,0.0168702277505954,0.017788613215088844,4.109783812916122e-05
2.5D U-Net bf32,17340,35.37984166397625,34.94309894867911,14.061686874682957,0.9776622610007192,0.9770409737398159,0.000160394138080291,0.006128666692323779,0.006215141620486975,1.121612416723284e-05,0.018485828881493565,0.017900293692946434,5.646576600384525e-05
2.5D U-Net bf64,17340,35.79427160123886,35.37624665351475,12.620748853913835,0.9789435064821983,0.9784044079308967,0.00014426696649563118,0.005730909384015042,0.005844667321071029,9.55180385795657e-06,0.017515782574328648,0.01702867168933153,4.901220435277176e-05
2.5D Residual ResNet,17340,38.70473590700904,37.47650336941162,20.285618386476646,0.98136982604599,0.9810021744321344,0.00012442036218428826,0.00428670514951719,0.00458130962215364,5.2062763133147926e-06,0.012882129300297496,0.013371367938816547,2.4139921522561964e-05
