model,tissue_psnr,tissue_ssim,all_psnr,all_ssim,val_loss
2.5D U-Net bf32,35.37984166397625,0.9776622610007192,39.74416762448629,0.8767266329240969,0.0003251398805100352
2.5D U-Net bf64,35.79427160123886,0.9789435064821984,38.64997523883728,0.8778603982819956,0.00029733616854361286
