epoch,train_loss,val_loss,monitor_loss,lr,seconds
1,0.001099086409662759,0.0006046845662070824,0.0006046845662070824,0.0001,2979.600475549698
2,0.0005617575293768482,0.0004848446213970772,0.0004848446213970772,0.0001,2011.5690732002258
3,0.00046575571638516987,0.0005195953930533874,0.0005195953930533874,0.0001,2047.7639782428741
4,0.00040082207697171444,0.00048021029480888435,0.00048021029480888435,0.0001,1889.317218542099
5,0.00035363415802784447,0.00044795483199493744,0.00044795483199493744,0.0001,1890.03076338768
6,0.0003225854054578974,0.00040429787204586794,0.00040429787204586794,0.0001,1886.2229981422424
7,0.0003001726213521354,0.0004076868996053349,0.0004076868996053349,0.0001,1882.2454867362976
8,0.00028530097767768983,0.0003875430675499462,0.0003875430675499462,0.0001,1880.7468733787537
9,0.000272918517931024,0.0003838693284291926,0.0003838693284291926,0.0001,1880.9517662525177
10,0.0002642109587686907,0.00037371662818235077,0.00037371662818235077,0.0001,1878.9627237319946
11,0.00025662449792101394,0.00037076923793402953,0.00037076923793402953,0.0001,1881.376300573349
12,0.0002502595721064719,0.00036493864399023146,0.00036493864399023146,0.0001,1877.3957314491272
13,0.0002449706230106739,0.00037047333646443917,0.00037047333646443917,0.0001,1878.6133832931519
14,0.00024010570368312046,0.00034926164998755495,0.00034926164998755495,0.0001,1883.5811233520508
15,0.00023578197206670711,0.0003521128422930917,0.0003521128422930917,0.0001,1894.6502666473389
16,0.000232611811062258,0.000359069201434474,0.000359069201434474,0.0001,1892.7118136882782
17,0.00022942997466576264,0.0003432678153877238,0.0003432678153877238,0.0001,1887.5188846588135
18,0.00022605200456940995,0.0003393622491993477,0.0003393622491993477,0.0001,1883.5417850017548
19,0.00022320015778211336,0.0003475799966647312,0.0003475799966647312,0.0001,1883.511295080185
20,0.00022111384811094798,0.0003459494041625868,0.0003459494041625868,0.0001,1898.9313061237335
21,0.00021886109003034938,0.0003417182444896256,0.0003417182444896256,5e-05,1897.3369653224945
22,0.00020902308291282975,0.00032885683866511694,0.00032885683866511694,5e-05,1897.06596326828
23,0.0002061481588961186,0.000330127835651804,0.000330127835651804,5e-05,1917.636890411377
24,0.00020430726552430933,0.00032838435263888124,0.00032838435263888124,5e-05,1962.684824705124
25,0.00020286463248919706,0.00032630982246593016,0.00032630982246593016,5e-05,2009.0268485546112
26,0.00020146602613675953,0.00032708512154525505,0.00032708512154525505,5e-05,1931.139362335205
27,0.00020017336456804014,0.00032656806549190645,0.00032656806549190645,5e-05,1958.388106584549
28,0.00019889316392382258,0.00032760375935922674,0.00032760375935922674,2.5e-05,1916.0888335704803
29,0.00019521122041173854,0.0003260163241423358,0.0003260163241423358,2.5e-05,1920.4725103378296
30,0.00019388754136639736,0.0003251398805100352,0.0003251398805100352,2.5e-05,1913.0029926300049
