patient_id,slice_index,target_nonzero_fraction,is_nonblank,before_psnr,before_ssim,after_psnr,after_ssim,psnr_gain,ssim_gain
BraTS-GLI-00137-000,137,0.0016840277777777,True,41.283330380920816,0.9455362525335028,62.17755028079868,0.9997859224551904,20.89421989987786,0.05424966992168756
BraTS-GLI-00274-000,5,0.0020833333333333,True,34.558097075343696,0.9309720912073314,55.38235133270592,0.9980587854200932,20.824254257362227,0.06708669421276181
BraTS-GLI-00025-000,143,0.0013888888888888,True,39.29954841889564,0.9464707862103052,60.01361811903194,0.9997342977474428,20.7140697001363,0.0532635115371376
BraTS-GLI-00359-000,139,0.0013541666666666,True,43.72729983641661,0.9731486259839608,64.24295413860561,0.9999374488201402,20.515654302189,0.02678882283617945
BraTS-GLI-00148-000,134,0.00359375,True,36.73912623522172,0.930307102107814,57.22114616085512,0.9997229872838688,20.482019925633402,0.06941588517605479
BraTS-GLI-00104-000,135,0.00125,True,38.50982677358524,0.9465285197032064,58.85645153103985,0.9993421726075192,20.346624757454613,0.052813652904312836
BraTS-GLI-00498-001,135,0.0011805555555555,True,42.51008146334338,0.9694351491437222,62.85430859849932,0.9996860362575752,20.34422713515594,0.030250887113853042
BraTS-GLI-00340-000,137,0.0037326388888888,True,35.371888902655265,0.8991095883716304,55.24530500233296,0.9996495051677532,19.873416099677698,0.10053991679612284
BraTS-GLI-00715-001,7,0.0023784722222222,True,34.451962917731485,0.934058535995732,54.060889010589136,0.9946882370814482,19.60892609285765,0.06062970108571619
BraTS-GLI-00571-000,42,0.0026388888888888,True,38.50941539657963,0.9481711015968964,58.10124505775211,0.9998859593222788,19.591829661172483,0.05171485772538231
