patient_id,slice_index,target_nonzero_fraction,is_nonblank,before_psnr,before_ssim,after_psnr,after_ssim,psnr_gain,ssim_gain
BraTS-GLI-00565-000,53,0.2488715277777777,True,24.1180048252674,0.6589953676389932,30.99460303812773,0.9536651429122268,6.876598212860333,0.29466977527323357
BraTS-GLI-00565-000,54,0.2513888888888889,True,24.4100937666374,0.6623241253129792,31.07377902527539,0.95015433634353,6.66368525863799,0.28783021103055073
BraTS-GLI-00565-000,51,0.2306076388888888,True,24.890577328714368,0.6697416990148336,31.16921002495385,0.9566611185295472,6.27863269623948,0.28691941951471356
BraTS-GLI-00518-000,45,0.2564236111111111,True,25.17050102083045,0.6727836595831941,31.19952582568958,0.9590087497455974,6.02902480485913,0.2862250901624033
BraTS-GLI-00558-000,53,0.2940972222222222,True,24.72143019662241,0.6471852589555692,31.227059791066885,0.9579512576771052,6.505629594444475,0.310765998721536
BraTS-GLI-00730-000,108,0.2543576388888889,True,24.01279264081279,0.6672967466693883,31.237058133622707,0.9545443967726222,7.224265492809916,0.28724765010323383
BraTS-GLI-00565-000,50,0.2278472222222222,True,24.380150184693264,0.6551065216354872,31.2583960585344,0.9623942878707564,6.878245873841138,0.3072877662352692
BraTS-GLI-00518-000,46,0.2624479166666666,True,25.157658136723292,0.6674705637889637,31.26353210950075,0.9584737635970136,6.105873972777459,0.2910031998080499
BraTS-GLI-00565-000,52,0.2434548611111111,True,24.14802302102436,0.6610890597194164,31.30470221353027,0.9568956536205158,7.156679192505909,0.2958065939010993
BraTS-GLI-00518-000,49,0.2735590277777778,True,24.636726003004927,0.6681946579992142,31.44328600481656,0.954111360482718,6.806560001811633,0.28591670248350387
