epoch,train_loss,val_loss,monitor_loss,lr,seconds
1,0.0005520357293536537,0.00038497292919510603,0.00038497292919510603,0.0001,3516.66020488739
2,0.0002100070158426068,0.000168413897256853,0.000168413897256853,0.0001,990.8234372138977
3,0.00016604912930062425,0.0001510984066765543,0.0001510984066765543,0.0001,1035.3480763435364
4,0.00014830653023771857,0.00014467419659412004,0.00014467419659412004,0.0001,1053.7570102214813
5,0.00013685691758955434,0.0001319655668816246,0.0001319655668816246,0.0001,1079.7341811656952
6,0.00012992652961305498,0.00014439684344143798,0.00014439684344143798,0.0001,1303.0456676483154
7,0.00012462781173425277,0.00012183044092194927,0.00012183044092194927,0.0001,1026.686940908432
8,0.00012018243156425948,0.00012253414390332777,0.00012253414390332777,0.0001,1027.3483881950378
9,0.00011627737448180905,0.00012660184725462928,0.00012660184725462928,0.0001,1031.8491508960724
10,0.00011386280596820915,0.00011917471075326692,0.00011917471075326692,0.0001,1530.0271570682526
11,0.00011117132325420926,0.00012292232824439607,0.00012292232824439607,0.0001,1384.6344454288483
12,0.00010912450477315214,0.00012183733323491273,0.00012183733323491273,0.0001,1151.9200627803802
13,0.0001067392058124458,0.00011226065169509441,0.00011226065169509441,0.0001,1092.252448797226
14,0.00010501594549935395,0.00011271146361049597,0.00011271146361049597,0.0001,1060.872061252594
15,0.00010358609449762965,0.00011776553571311183,0.00011776553571311183,0.0001,1053.7378370761871
16,0.00010199806609547178,0.00011557378332747237,0.00011557378332747237,5e-05,1017.3504221439362
17,9.570703881014453e-05,0.00010598600116930766,0.00010598600116930766,5e-05,1029.473494052887
18,9.442859626780457e-05,0.00010947848021932956,0.00010947848021932956,5e-05,1031.7172100543976
19,9.3582465795899e-05,0.00010697417710776279,0.00010697417710776279,5e-05,1035.9797315597534
20,9.253806467122187e-05,0.00010677000910134518,0.00010677000910134518,2.5e-05,1032.922028541565
21,8.937701847131548e-05,0.00010575398616443816,0.00010575398616443816,2.5e-05,1034.2145600318909
22,8.863242977016847e-05,0.00010535357062481817,0.00010535357062481817,2.5e-05,1036.242315530777
23,8.79532890316774e-05,0.00010641626487724128,0.00010641626487724128,2.5e-05,1043.5941381454468
24,8.740255104262089e-05,0.00010717071356381697,0.00010717071356381697,2.5e-05,1011.8230230808258
25,8.689780057265079e-05,0.00010496025628154388,0.00010496025628154388,2.5e-05,988.7003796100616
26,8.63064180099099e-05,0.00010560024098446099,0.00010560024098446099,2.5e-05,991.1408803462982
27,8.583387322811681e-05,0.00010565280162170478,0.00010565280162170478,2.5e-05,1049.979198217392
28,8.531550309763822e-05,0.00010584398984926673,0.00010584398984926673,1.25e-05,971.7150580883026
29,8.383193949921342e-05,0.00010549619336767104,0.00010549619336767104,1.25e-05,965.4658014774323
30,8.343184132584048e-05,0.00010537853678550547,0.00010537853678550547,1.25e-05,965.5564594268799
